Time,Distance,Status
942,3737,OK
706,3452,OK
870,3884,OK
740,3470,OK
945,3757,OK
986,4414,OK
868,4292,OK
868,4292,OK
707,3091,OK
882,3597,OK
985,4207,OK
994,3798,OK
732,3241,OK
723,3127,OK
915,3910,OK
957,3822,OK
973,3936,OK
948,4097,OK
704,3064,OK
661,2963,OK
845,3352,OK
939,3909,OK
983,4201,OK
884,4022,OK
911,3946,OK
897,3828,OK
985,4052,OK
983,3769,OK
936,3897,OK
939,3467,OK
973,4056,OK
702,3019,OK
972,4156,OK
972,4156,OK
978,3960,OK
1002,4415,OK
618,2699,OK
968,3992,OK
995,4048,OK
943,3743,OK
776,3163,OK
740,3186,OK
773,3239,OK
972,4157,OK
757,3469,OK
946,3763,OK
895,3820,OK
726,3179,OK
960,4335,OK
847,3361,OK
971,4053,OK
836,3122,OK
787,3668,OK
936,3901,OK
947,3955,OK
724,3210,OK
797,3496,OK
846,3357,OK
972,4156,OK
972,4156,OK
725,3214,OK
911,3872,OK
900,3424,OK
711,3120,OK
921,3394,OK
980,4262,OK
693,3110,OK
728,3168,OK
943,3746,OK
960,3846,OK
755,3462,OK
967,3705,OK
903,3428,OK
971,3938,OK
986,3994,OK
924,3244,OK
884,4454,OK
880,3402,OK
961,3850,OK
703,3058,OK
774,3341,OK
919,3915,OK
720,3185,OK
946,3925,OK
706,3078,OK
706,3078,OK
660,2951,OK
897,3420,OK
975,3952,OK
704,3323,OK
981,4268,OK
938,3905,OK
942,4360,OK
848,3368,OK
977,3955,OK
947,3770,OK
918,3929,OK
962,3854,OK
976,3254,OK
946,4089,OK
748,3530,OK
982,3767,OK
647,3333,OK
974,3940,OK
926,4341,OK
721,3179,OK
755,3462,OK
973,4157,OK
901,3882,OK
978,3992,OK
731,3243,OK
731,3243,OK
990,4025,OK
944,3753,OK
777,3595,OK
607,2638,OK
891,3414,OK
856,4238,OK
851,3789,OK
848,3373,OK
933,3286,OK
962,3860,OK
685,2945,OK
990,4026,OK
832,3276,OK
945,4084,OK
687,2955,OK
941,4085,OK
937,4242,OK
838,3866,OK
780,3243,OK
690,3270,OK
965,3695,OK
990,4020,OK
733,3152,OK
978,3502,OK
876,4362,OK
876,4362,OK
874,3559,OK
963,3864,OK
830,3256,OK
977,3963,OK
846,3186,OK
969,4140,OK
662,2968,OK
705,3033,OK
958,3832,OK
991,4025,OK
832,3556,OK
1004,3792,OK
723,3205,OK
705,3072,OK
998,4401,OK
986,4002,OK
881,3403,OK
989,4020,OK
962,4177,OK
963,3867,OK
980,3985,OK
975,3946,OK
837,3129,OK
979,3509,OK
965,3693,OK
965,3693,OK
733,3219,OK
884,3406,OK
986,4191,OK
992,3778,OK
635,2924,OK
869,3872,OK
937,3305,OK
830,3255,OK
705,3064,OK
650,2768,OK
723,3093,OK
933,3286,OK
989,4016,OK
722,3104,OK
945,3762,OK
705,3065,OK
990,4022,OK
971,4292,OK
956,4054,OK
846,3752,OK
950,4022,OK
985,3998,OK
1022,4593,OK
758,3722,OK
969,4140,OK
969,4140,OK
953,4038,OK
663,2974,OK
960,3841,OK
681,3186,OK
660,2951,OK
990,3776,OK
978,3969,OK
847,3192,OK
877,4417,OK
762,3346,OK
844,3174,OK
718,3080,OK
949,4014,OK
778,3493,OK
850,3384,OK
961,3848,OK
716,3149,OK
818,3510,OK
635,3280,OK
720,3095,OK
835,3576,OK
777,3456,OK
967,4376,OK
834,3291,OK
635,2806,OK
635,2806,OK
826,3294,OK
812,3608,OK
721,3175,OK
984,3993,OK
988,4010,OK
856,3807,OK
952,4030,OK
872,3547,OK
684,3218,OK
674,3052,OK
834,4175,OK
843,3168,OK
1003,4543,OK
947,3771,OK
994,3781,OK
722,3186,OK
854,3417,OK
666,2858,OK
790,3418,OK
987,4064,OK
787,3250,OK
981,3992,OK
960,4079,OK
717,3360,OK
906,3277,OK
906,3277,OK
774,3474,OK
948,3777,OK
972,3934,OK
1030,3821,OK
949,3946,OK
789,3274,OK
962,3859,OK
983,3988,OK
838,3594,OK
1011,4387,OK
961,4090,OK
714,3110,OK
954,4045,OK
966,3901,OK
832,3269,OK
846,3182,OK
963,3864,OK
802,3485,OK
964,3887,OK
835,3299,OK
999,4159,OK
1006,3794,OK
1020,4586,OK
979,3981,OK
879,4434,OK
